path,validity,family,signed_delta,fraction_below_upper2,gap_region,error
nstxu_204202/N2/egn02w.1705E+02,bad,none,0.7286996297453535,1,below_upper2,
nstxu_204202/N7/egn07w.1291E+02,bad,none,0.991427474188661,1,below_upper2,
nstxu_204202/N5/egn05w.1124E+02,bad,none,0.9999328631848936,1,below_upper2,
nstxu_204202/N5/egn05w.1894E+02,bad,none,0.9765215954738896,1,below_upper2,
nstxu_204202/N6/egn06w.9707E+01,bad,none,0.9982981991841308,1,below_upper2,
nstxu_204202/N7/egn07w.2172E+02,bad,none,0.6852563178239213,0.5692167147829084,below_upper2,
nstxu_204202/N1/egn01w.1226E+02,bad,none,0.9563252622666907,1,below_upper2,
nstxu_204202/N1/egn01w.3866E+02,bad,none,-0.8590667828861418,0.04772898753946381,above_upper2,
nstxu_204202/N10/egn10w.3318E+02,bad,none,-0.8647409547775844,0.008304613535623744,above_upper2,
nstxu_204202/N6/egn06w.1097E+02,bad,none,0.9965707003403279,1,below_upper2,
nstxu_204202/N4/egn04w.5638E+01,bad,none,0.9957365930074421,1,below_upper2,
nstxu_204202/N10/egn10w.3164E+02,bad,none,-0.9905835849527913,0.0006269077680849559,above_upper2,
nstxu_204202/N10/egn10w.3122E+02,bad,none,-0.981439185850268,0.0005970145569306136,above_upper2,
nstxu_204202/N10/egn10w.2918E+02,bad,none,0.8543932150579455,0.9264787100425843,below_upper2,
nstxu_204202/N2/egn02w.3054E+02,bad,none,-0.4495717222718119,0.1079392409227879,above_upper2,
nstxu_204202/N8/egn08w.1612E+02,bad,none,0.999824861244194,1,below_upper2,
nstxu_204202/N7/egn07w.1301E+02,bad,none,0.9945012757690501,1,below_upper2,
nstxu_204202/N3/egn03w.2337E+02,bad,none,-0.4481751275257372,0.06430191081905773,above_upper2,
nstxu_204202/N4/egn04w.2939E+02,bad,none,-0.7391459781986469,0.1306033433444502,above_upper2,
nstxu_204202/N6/egn06w.2649E+02,bad,none,0.6069763693189608,0.5557374937604969,below_upper2,
nstxu_204202/N10/egn10w.7180E+01,bad,none,0.9736452933042923,1,below_upper2,
nstxu_204202/N3/egn03w.2774E+02,bad,none,0.9630154861743164,0.9946459377668923,below_upper2,
