path,validity,family,signed_delta,fraction_below_upper2,gap_region,error
nstxuE202855A01t020/N1/egn01w.1291E+01,good,tae,0.9275,1.0000,below_upper2,
nstxuE202855A01t020/N1/egn01w.2269E+01,good,tae,0.9264,1.0000,below_upper2,
nstxuE202855A01t020/N1/egn01w.2608E+01,bad,none,0.4278,1.0000,below_upper2,
nstxuE202855A01t020/N1/egn01w.8188E+00,bad,none,0.9417,1.0000,below_upper2,
nstxuE202855A01t020/N1/egn01w.8555E+00,bad,none,0.9362,1.0000,below_upper2,
nstxuE202855A01t020/N1/egn01w.9166E+00,good,tae,0.9610,1.0000,below_upper2,
nstxuE202855A01t020/N10/egn10w.1054E+01,good,tae,0.9739,1.0000,below_upper2,
nstxuE202855A01t020/N10/egn10w.1210E+01,good,tae,0.8983,1.0000,below_upper2,
nstxuE202855A01t020/N10/egn10w.1398E+01,good,tae,0.9520,1.0000,below_upper2,
nstxuE202855A01t020/N10/egn10w.1463E+01,good,tae,0.9581,1.0000,below_upper2,
nstxuE202855A01t020/N10/egn10w.1484E+01,good,tae,0.9558,1.0000,below_upper2,
nstxuE202855A01t020/N10/egn10w.1667E+01,good,tae,0.9590,1.0000,below_upper2,
nstxuE202855A01t020/N10/egn10w.1763E+01,bad,none,0.7503,0.9753,below_upper2,
nstxuE202855A01t020/N10/egn10w.2181E+01,good,tae,0.9104,1.0000,below_upper2,
nstxuE202855A01t020/N10/egn10w.2289E+01,good,tae,0.9774,1.0000,below_upper2,
nstxuE202855A01t020/N10/egn10w.2558E+01,bad,none,0.8606,0.9972,below_upper2,
nstxuE202855A01t020/N10/egn10w.2605E+01,good,tae,0.9760,0.9999,below_upper2,
nstxuE202855A01t020/N10/egn10w.3318E+01,bad,none,0.3481,0.6979,below_upper2,
nstxuE202855A01t020/N10/egn10w.3637E+01,good,tae,0.9818,0.9998,below_upper2,
nstxuE202855A01t020/N2/egn02w.1042E+01,good,tae,0.9381,1.0000,below_upper2,
nstxuE202855A01t020/N2/egn02w.1249E+01,good,tae,0.9223,1.0000,below_upper2,
nstxuE202855A01t020/N2/egn02w.1663E+01,good,tae,0.9483,1.0000,below_upper2,
nstxuE202855A01t020/N2/egn02w.7276E+00,bad,none,0.9960,1.0000,below_upper2,
nstxuE202855A01t020/N2/egn02w.8670E+00,good,tae,0.9508,1.0000,below_upper2,
nstxuE202855A01t020/N3/egn03w.1155E+01,good,tae,0.9248,1.0000,below_upper2,
nstxuE202855A01t020/N3/egn03w.1270E+01,good,tae,0.9156,1.0000,below_upper2,
nstxuE202855A01t020/N3/egn03w.1525E+01,good,tae,0.9536,1.0000,below_upper2,
nstxuE202855A01t020/N3/egn03w.2095E+01,good,tae,0.9659,1.0000,below_upper2,
nstxuE202855A01t020/N3/egn03w.3436E+01,bad,none,0.9243,0.9979,below_upper2,
nstxuE202855A01t020/N3/egn03w.3511E+01,bad,none,0.8662,0.9896,below_upper2,
nstxuE202855A01t020/N3/egn03w.3563E+01,bad,none,0.6551,0.6453,below_upper2,
nstxuE202855A01t020/N3/egn03w.9898E+00,good,tae,0.9562,1.0000,below_upper2,
nstxuE202855A01t020/N4/egn04w.1286E+01,good,tae,0.9086,1.0000,below_upper2,
nstxuE202855A01t020/N4/egn04w.1502E+01,good,tae,0.9559,1.0000,below_upper2,
nstxuE202855A01t020/N4/egn04w.1839E+01,good,tae,0.9658,1.0000,below_upper2,
nstxuE202855A01t020/N4/egn04w.3787E+01,bad,none,0.3985,0.7129,below_upper2,
nstxuE202855A01t020/N5/egn05w.1302E+01,good,tae,0.9011,1.0000,below_upper2,
nstxuE202855A01t020/N5/egn05w.1723E+01,good,tae,0.9637,1.0000,below_upper2,
nstxuE202855A01t020/N5/egn05w.3402E+01,bad,none,0.6954,0.9432,below_upper2,
nstxuE202855A01t020/N5/egn05w.4250E+01,bad,none,0.9373,0.9922,below_upper2,
nstxuE202855A01t020/N6/egn06w.2444E+01,bad,none,0.4942,1.0000,below_upper2,
nstxuE202855A01t020/N6/egn06w.2549E+00,bad,none,0.9973,1.0000,below_upper2,
