path,mode_key,cohort,training_label,latest12,v12_rule_decision,energy_only_rule_decision,body_condition_rule_decision,peak_r,peak_energy_fraction,width_grid,peak_amplitude,body_amplitude_max,amplitude_over_body,input_fingerprint
/p/hym/ebelova/NOVA/data_mixed/nstxuE204669M03t025/N4/egn04w.1691E+02,nstxuE204669M03t025/N4/egn04w.1691E+02,training,good,False,REVIEW,BAD,BAD,0.97,0.9857696912940981,2.0267139104027887,0.9476766584797124,0.7769203835031633,1.2197860663747844,f5b0e23454fdb0e7a774b9be8b6dd9d445cdefeecba9ea5686147f5210443f4c
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE202926A03t025/N9/egn09w.8123E+01,nstxuE202926A03t025/N9/egn09w.8123E+01,pilot,,True,REVIEW,BAD,REVIEW,0.975,0.6599943675542288,2.110314944528202,0.7654811914002944,1.0,0.7654811914002944,8b8fc6ef61ac7797a4496eafdecf74150c802e28d61f622f20c5f88609745aa1
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE202926A03t025/N10/egn10w.9556E+01,nstxuE202926A03t025/N10/egn10w.9556E+01,pilot,,True,REVIEW,BAD,REVIEW,0.975,0.5529432909113243,1.941685190706588,0.6591519418021884,1.0,0.6591519418021884,7c3ed00d6da705e974c5b1fd5412a5e1eccf68a5dad7d454cd7a7ca20e373921
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE203262A04t018/N3/egn03w.6042E+01,nstxuE203262A04t018/N3/egn03w.6042E+01,pilot,,False,REVIEW,BAD,REVIEW,0.975,0.5463902358930969,2.701028544293793,0.5950747136473375,1.0,0.5950747136473375,b4176aec7dbec7ee4463ac7ba31a8f6c8cf1f7ee37b6bed27e14f36bca75d085
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE203262A04t018/N10/egn10w.6623E+01,nstxuE203262A04t018/N10/egn10w.6623E+01,pilot,,False,REVIEW,BAD,REVIEW,1.0,0.6392110113952263,2.023362119011729,0.07108819000269732,1.0,0.07108819000269732,808f10bc348d37f80692580cd92b1f0d2cbe124e2ba413ea39b51814f8784471
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE203653A02t025/N3/egn03w.1814E+02,nstxuE203653A02t025/N3/egn03w.1814E+02,pilot,,True,REVIEW,BAD,REVIEW,0.975,0.7428083247073131,2.417014179735144,0.7936134116023903,0.8570471193773455,0.9259857406427776,76a32304581abf0a33431e553f24bbcb6b9cd0f0f2d3efa5a0feb728a1c3f2dd
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE203655F01t025/N2/egn02w.2035E+02,nstxuE203655F01t025/N2/egn02w.2035E+02,pilot,,True,REVIEW,BAD,BAD,0.975,0.6901303656431653,3.311989960267847,0.7878817731637853,0.21693604825246263,3.631861922030016,16b3faf400137c2c0739f851d902a23aae99a00a16abafe104b9e53b1f84c1ad
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE203655F01t025/N3/egn03w.1213E+02,nstxuE203655F01t025/N3/egn03w.1213E+02,pilot,,True,REVIEW,BAD,REVIEW,0.97,0.5952026605029969,2.08606859719378,0.6728017453260802,1.0,0.6728017453260802,ba26806a5f7e95bb6263ddbf2c2a16333986d6385d9109c58d78f83073571d1e
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE203655F01t025/N3/egn03w.1987E+02,nstxuE203655F01t025/N3/egn03w.1987E+02,pilot,,True,REVIEW,BAD,BAD,0.97,0.8022532701811586,1.7735627254294561,0.8122886373483504,0.8005027065359182,1.0147231617285024,6d4bd6a767bcd3206bc2208125e85bb992c2f2b592b374e1ae7a97b9f5d9f9fc
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE203981A01t025/N3/egn03w.6660E+01,nstxuE203981A01t025/N3/egn03w.6660E+01,pilot,,True,REVIEW,BAD,REVIEW,0.97,0.587300846407818,2.387100018937449,0.7241961714590094,1.0,0.7241961714590094,649b0cfcac7d9bf83c2472ae0f7916c312894984de726e636fb697b66c7387d2
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE204678M01t017/N5/egn05w.2149E+01,nstxuE204678M01t017/N5/egn05w.2149E+01,pilot,,True,REVIEW,BAD,REVIEW,0.975,0.6384102323304067,2.4776720829607024,0.7776271860647286,1.0,0.7776271860647286,daf8373390a9c33b22993cbc52e00a52862aac7a07f06050a09a6b5648aaaa4d
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE204678M01t017/N8/egn08w.6914E+01,nstxuE204678M01t017/N8/egn08w.6914E+01,pilot,,True,REVIEW,BAD,REVIEW,0.97,0.5927506094589381,2.136619735079348,0.6114386458473656,1.0,0.6114386458473656,af1141e76acdfe24a705ac83f7d82f1868da44041b15fe189ba11bd7af4711dc
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE204954A01t022/N6/egn06w.1466E+02,nstxuE204954A01t022/N6/egn06w.1466E+02,pilot,,False,REVIEW,BAD,REVIEW,0.97,0.9443303720215719,2.4019906017087145,0.7553310810315517,1.0,0.7553310810315517,36b3df42ede31628b374e51122057f4e91c00727ed7315de27bd3e08d2280e37
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE205017A01t025/N5/egn05w.1497E+02,nstxuE205017A01t025/N5/egn05w.1497E+02,pilot,,False,REVIEW,BAD,REVIEW,0.97,0.5137616582813502,2.667509697039483,0.7242203006832665,1.0,0.7242203006832665,5c631766eacf515694e1cb424116eb0b49bbabdcd98f7cd8247e2c13ce0dcece
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE205057A01t020/N4/egn04w.1444E+02,nstxuE205057A01t020/N4/egn04w.1444E+02,pilot,,False,REVIEW,BAD,BAD,0.975,0.9560780086193025,2.0959047037393486,0.8766197095840688,0.7532118703814685,1.163842132679215,94668f9f4ecb408ad1a2ea0d870b2df0a55fe7bab3815fefc376c6c3dd316424
